episode,steps,return,length,success,crash,wall_time
0,12,-101.229,12,0,1,0.0
1,36,-105.984,24,0,1,0.1
2,81,-100.97,45,0,1,0.1
3,98,-98.175,17,0,1,0.1
4,107,-100.883,9,0,1,0.2
5,145,-90.538,38,0,1,0.2
6,152,-99.99,7,0,1,0.2
7,178,-93.729,26,0,1,0.3
8,194,-101.718,16,0,1,0.3
9,257,-66.76,63,0,1,0.4
10,276,-104.062,19,0,1,0.4
11,293,-106.866,17,0,1,0.4
12,309,-106.759,16,0,1,0.4
13,321,-105.047,12,0,1,0.5
14,373,-112.019,52,0,1,0.5
15,403,-115.654,30,0,1,0.6
16,444,-111.44,41,0,1,0.6
17,467,-103.754,23,0,1,0.7
18,491,-79.987,24,0,1,0.7
19,571,-84.695,80,0,1,0.9
20,581,-95.444,10,0,1,0.9
21,604,-89.611,23,0,1,1.0
22,633,-98.668,29,0,1,1.0
23,650,-94.4,17,0,1,1.0
24,668,-103.251,18,0,1,1.1
25,687,-94.646,19,0,1,1.1
26,748,-96.253,61,0,1,1.2
27,806,-122.896,58,0,1,1.3
28,837,-90.141,31,0,1,1.4
29,851,-87.38,14,0,1,1.4
30,861,-101.988,10,0,1,1.4
31,908,-116.575,47,0,1,1.5
32,924,-97.869,16,0,1,1.5
33,1040,-70.086,116,0,1,1.7
34,1070,-121.813,30,0,1,1.7
35,1320,-4.482,250,0,0,2.1
36,1348,-104.887,28,0,1,2.1
37,1358,-109.335,10,0,1,2.2
38,1460,-103.602,102,0,1,2.3
39,1492,-102.704,32,0,1,2.4
40,1522,-117.783,30,0,1,2.4
41,1535,-96.918,13,0,1,2.4
42,1556,-105.274,21,0,1,2.5
43,1683,-73.369,127,0,1,2.7
44,1759,-104.935,76,0,1,2.8
45,1836,-110.523,77,0,1,2.9
46,1852,-114.896,16,0,1,3.0
47,1885,-110.103,33,0,1,3.0
48,1933,-118.461,48,0,1,3.1
49,1951,-116.783,18,0,1,3.1
50,1973,-101.341,22,0,1,3.1
51,1984,-96.94,11,0,1,3.2
52,2132,-91.894,148,0,1,4.4
53,2377,-53.087,245,0,1,4.8
54,2393,-102.811,16,0,1,4.8
55,2426,-93.027,33,0,1,4.9
56,2509,-104.011,83,0,1,5.0
57,2759,21.912,250,0,0,5.4
58,2801,-105.286,42,0,1,5.4
59,2825,-106.474,24,0,1,5.5
60,2858,-81.956,33,0,1,5.5
61,2878,-104.289,20,0,1,5.6
62,2892,-100.376,14,0,1,5.6
63,2996,-108.891,104,0,1,5.8
64,3099,-79.197,103,0,1,5.9
65,3262,-87.192,163,0,1,6.2
66,3316,-85.112,54,0,1,6.3
67,3380,-109.085,64,0,1,6.4
68,3386,-91.382,6,0,1,6.4
69,3473,-96.794,87,0,1,6.6
70,3499,-92.924,26,0,1,6.6
71,3543,-110.756,44,0,1,6.7
72,3586,-85.366,43,0,1,6.7
73,3616,-93.918,30,0,1,6.8
74,3685,-74.183,69,0,1,6.9
75,3697,-108.054,12,0,1,6.9
76,3741,-107.944,44,0,1,7.0
77,3756,-106.893,15,0,1,7.0
78,3764,-102.508,8,0,1,7.0
79,3807,-100.611,43,0,1,7.1
80,3822,-99.451,15,0,1,7.1
81,3850,-111.486,28,0,1,7.2
82,3893,-101.906,43,0,1,7.2
83,3912,-98.686,19,0,1,7.3
84,3936,-80.628,24,0,1,7.3
85,4043,-89.426,107,0,1,7.5
86,4200,-66.673,157,0,1,8.7
87,4233,-98.103,33,0,1,8.8
88,4240,-94.81,7,0,1,8.8
89,4274,-94.499,34,0,1,8.9
90,4361,-94.675,87,0,1,9.0
91,4413,-63.907,52,0,1,9.1
92,4480,-98.532,67,0,1,9.2
93,4651,-94.548,171,0,1,9.5
94,4678,-92.686,27,0,1,9.6
95,4849,-102.55,171,0,1,9.9
96,4892,-82.225,43,0,1,10.0
97,4961,-109.61,69,0,1,10.1
98,4974,-111.733,13,0,1,10.1
99,5224,72.537,250,0,0,10.6
100,5419,-66.698,195,0,1,11.0
101,5452,-101.497,33,0,1,11.0
102,5702,-10.001,250,0,0,11.6
103,5715,-97.9,13,0,1,11.6
104,5785,-82.194,70,0,1,11.7
105,5813,-112.302,28,0,1,11.8
106,5842,-90.775,29,0,1,11.8
107,6019,-78.227,177,0,1,12.2
108,6081,-108.474,62,0,1,12.3
109,6331,11.28,250,0,0,14.1
110,6367,-116.022,36,0,1,14.1
111,6371,-95.056,4,0,1,14.1
112,6434,-91.712,63,0,1,14.3
113,6447,-101.304,13,0,1,14.3
114,6499,-110.097,52,0,1,14.4
115,6727,-59.662,228,0,1,14.8
116,6770,-108.392,43,0,1,14.9
117,6798,-108.27,28,0,1,15.0
118,7008,-74.395,210,0,1,15.4
119,7258,40.36,250,0,0,15.9
120,7295,-67.546,37,0,1,16.0
121,7535,-67.651,240,0,1,16.4
122,7579,-110.933,44,0,1,16.5
123,7672,-95.52,93,0,1,16.7
124,7833,-82.319,161,0,1,17.0
125,7846,-110.885,13,0,1,17.0
126,8081,-100.024,235,0,1,17.4
127,8121,-112.981,40,0,1,17.5
128,8170,-105.839,49,0,1,17.6
129,8370,-52.398,200,0,1,19.3
130,8590,-37.342,220,0,1,19.7
131,8789,-45.106,199,0,1,20.1
132,8827,-98.231,38,0,1,20.2
133,9077,57.247,250,0,0,20.6
134,9239,-90.547,162,0,1,20.9
135,9284,-98.68,45,0,1,21.0
136,9439,-58.835,155,0,1,21.3
137,9469,-100.055,30,0,1,21.5
138,9623,-64.706,154,0,1,22.3
139,9734,-63.405,111,0,1,22.5
140,9769,-98.206,35,0,1,22.5
141,9778,-103.987,9,0,1,22.5
142,10017,-62.085,239,0,1,23.0
143,10070,-72.586,53,0,1,23.1
144,10077,-97.489,7,0,1,23.1
145,10327,42.062,250,0,0,25.3
146,10509,-24.143,182,0,1,25.7
147,10670,-48.581,161,0,1,26.1
148,10920,34.949,250,0,0,26.6
149,11170,32.821,250,0,0,27.0
150,11322,-97.379,152,0,1,27.4
151,11341,-111.997,19,0,1,27.4
152,11591,64.764,250,0,0,27.8
153,11608,-107.742,17,0,1,27.9
154,11698,-78.088,90,0,1,28.0
155,11818,-102.411,120,0,1,28.2
156,12068,51.75,250,0,0,28.8
157,12193,-67.768,125,0,1,29.1
158,12244,-99.167,51,0,1,29.1
159,12291,-88.813,47,0,1,30.3
160,12541,49.936,250,0,0,30.7
161,12647,-73.244,106,0,1,30.9
162,12897,70.141,250,0,0,31.3
163,13066,-37.103,169,0,1,31.6
164,13138,-76.548,72,0,1,31.7
165,13294,-30.797,156,0,1,32.0
166,13426,-49.286,132,0,1,32.2
167,13600,-71.174,174,0,1,32.5
168,13832,-20.609,232,0,1,32.9
169,13883,-110.402,51,0,1,32.9
170,14133,65.528,250,0,0,33.3
171,14164,-88.993,31,0,1,33.4
172,14258,-73.849,94,0,1,33.5
173,14447,-35.472,189,0,1,34.8
174,14499,-104.369,52,0,1,34.9
175,14749,37.291,250,0,0,35.3
176,14870,-74.564,121,0,1,35.5
177,15056,-41.872,186,0,1,35.8
178,15128,-76.912,72,0,1,35.9
179,15200,-96.712,72,0,1,36.0
180,15365,-59.517,165,0,1,36.3
181,15490,-50.374,125,0,1,36.6
182,15508,-93.83,18,0,1,36.6
183,15543,-62.639,35,0,1,36.7
184,15575,-83.666,32,0,1,36.8
185,15671,-74.31,96,0,1,37.0
186,15808,-30.862,137,0,1,37.3
187,15863,-92.617,55,0,1,37.4
188,15906,-81.83,43,0,1,37.5
189,15927,-89.088,21,0,1,37.6
190,15951,-74.73,24,0,1,37.6
191,16201,31.251,250,0,0,38.0
192,16241,-101.895,40,0,1,38.1
193,16491,40.912,250,0,0,39.7
194,16651,-32.576,160,0,1,40.1
195,16901,57.746,250,0,0,40.6
196,17124,-33.446,223,0,1,41.0
